ECU0: LK, ECU0: CC, ECU0: SENSING
0, ECU0: CC, 1
10, ECU0: CC, 0
10, ECU0: LK, 1
30, ECU0: CC, 1
40, ECU0: CC, 0
50, ECU0: LK, 0
60, ECU0: CC, 1
70, ECU0: CC, 0
70, ECU0: LK, 1
90, ECU0: CC, 1
100, ECU0: CC, 0
110, ECU0: LK, 0
120, ECU0: CC, 1
130, ECU0: CC, 0
130, ECU0: LK, 1
150, ECU0: CC, 1
160, ECU0: CC, 0
170, ECU0: LK, 0
180, ECU0: CC, 1
50, ECU0: SENSING, 1
60, ECU0: SENSING, 0
110, ECU0: SENSING, 1
120, ECU0: SENSING, 0
190, ECU0: CC, 0
190, ECU0: LK, 1
210, ECU0: CC, 1
220, ECU0: CC, 0
230, ECU0: LK, 0
230, ECU0: SENSING, 1
240, ECU0: CC, 1
240, ECU0: SENSING, 0
250, ECU0: CC, 0
250, ECU0: LK, 1
270, ECU0: CC, 1
280, ECU0: CC, 0
290, ECU0: LK, 0
300, ECU0: CC, 1
310, ECU0: CC, 0
310, ECU0: LK, 1
330, ECU0: CC, 1
340, ECU0: CC, 0
350, ECU0: LK, 0
360, ECU0: CC, 1
370, ECU0: CC, 0
370, ECU0: LK, 1
390, ECU0: CC, 1
400, ECU0: CC, 0
410, ECU0: LK, 0
420, ECU0: CC, 1
430, ECU0: CC, 0
430, ECU0: LK, 1
450, ECU0: CC, 1
460, ECU0: CC, 0
470, ECU0: LK, 0
480, ECU0: CC, 1
350, ECU0: SENSING, 1
360, ECU0: SENSING, 0
410, ECU0: SENSING, 1
420, ECU0: SENSING, 0
490, ECU0: CC, 0
490, ECU0: LK, 1
510, ECU0: CC, 1
520, ECU0: CC, 0
530, ECU0: LK, 0
530, ECU0: SENSING, 1
540, ECU0: CC, 1
540, ECU0: SENSING, 0
550, ECU0: CC, 0
550, ECU0: LK, 1
570, ECU0: CC, 1
580, ECU0: CC, 0
590, ECU0: LK, 0
600, ECU0: CC, 1
610, ECU0: CC, 0
610, ECU0: LK, 1
630, ECU0: CC, 1
640, ECU0: CC, 0
650, ECU0: LK, 0
660, ECU0: CC, 1
670, ECU0: CC, 0
670, ECU0: LK, 1
690, ECU0: CC, 1
700, ECU0: CC, 0
710, ECU0: LK, 0
720, ECU0: CC, 1
730, ECU0: CC, 0
730, ECU0: LK, 1
750, ECU0: CC, 1
760, ECU0: CC, 0
770, ECU0: LK, 0
780, ECU0: CC, 1
650, ECU0: SENSING, 1
660, ECU0: SENSING, 0
710, ECU0: SENSING, 1
720, ECU0: SENSING, 0
790, ECU0: CC, 0
790, ECU0: LK, 1
810, ECU0: CC, 1
820, ECU0: CC, 0
830, ECU0: LK, 0
830, ECU0: SENSING, 1
840, ECU0: CC, 1
840, ECU0: SENSING, 0
850, ECU0: CC, 0
850, ECU0: LK, 1
870, ECU0: CC, 1
880, ECU0: CC, 0
890, ECU0: LK, 0
900, ECU0: CC, 1
910, ECU0: CC, 0
910, ECU0: LK, 1
930, ECU0: CC, 1
940, ECU0: CC, 0
950, ECU0: LK, 0
960, ECU0: CC, 1
970, ECU0: CC, 0
970, ECU0: LK, 1
990, ECU0: CC, 1
1000, ECU0: CC, 0
1010, ECU0: LK, 0
1020, ECU0: CC, 1
1030, ECU0: CC, 0
1030, ECU0: LK, 1
1050, ECU0: CC, 1
1060, ECU0: CC, 0
1070, ECU0: LK, 0
1080, ECU0: CC, 1
950, ECU0: SENSING, 1
960, ECU0: SENSING, 0
1010, ECU0: SENSING, 1
1020, ECU0: SENSING, 0
1090, ECU0: CC, 0
1090, ECU0: LK, 1
1110, ECU0: CC, 1
1120, ECU0: CC, 0
1130, ECU0: LK, 0
1130, ECU0: SENSING, 1
1140, ECU0: CC, 1
1140, ECU0: SENSING, 0
1150, ECU0: CC, 0
1150, ECU0: LK, 1
1170, ECU0: CC, 1
1180, ECU0: CC, 0
1190, ECU0: LK, 0
1200, ECU0: CC, 1
1210, ECU0: CC, 0
1210, ECU0: LK, 1
1230, ECU0: CC, 1
1240, ECU0: CC, 0
1250, ECU0: LK, 0
1260, ECU0: CC, 1
1270, ECU0: CC, 0
1270, ECU0: LK, 1
1290, ECU0: CC, 1
1300, ECU0: CC, 0
1310, ECU0: LK, 0
1320, ECU0: CC, 1
1330, ECU0: CC, 0
1330, ECU0: LK, 1
1350, ECU0: CC, 1
1360, ECU0: CC, 0
1370, ECU0: LK, 0
1380, ECU0: CC, 1
1250, ECU0: SENSING, 1
1260, ECU0: SENSING, 0
1310, ECU0: SENSING, 1
1320, ECU0: SENSING, 0
1390, ECU0: CC, 0
1390, ECU0: LK, 1
1410, ECU0: CC, 1
1420, ECU0: CC, 0
1430, ECU0: LK, 0
1430, ECU0: SENSING, 1
1440, ECU0: CC, 1
1440, ECU0: SENSING, 0
1450, ECU0: CC, 0
1450, ECU0: LK, 1
1470, ECU0: CC, 1
1480, ECU0: CC, 0
1490, ECU0: LK, 0
1500, ECU0: CC, 1
1510, ECU0: CC, 0
1510, ECU0: LK, 1
1530, ECU0: CC, 1
1540, ECU0: CC, 0
1550, ECU0: LK, 0
1560, ECU0: CC, 1
1570, ECU0: CC, 0
1570, ECU0: LK, 1
1590, ECU0: CC, 1
1600, ECU0: CC, 0
1610, ECU0: LK, 0
1620, ECU0: CC, 1
1630, ECU0: CC, 0
1630, ECU0: LK, 1
1650, ECU0: CC, 1
1660, ECU0: CC, 0
1670, ECU0: LK, 0
1680, ECU0: CC, 1
1550, ECU0: SENSING, 1
1560, ECU0: SENSING, 0
1610, ECU0: SENSING, 1
1620, ECU0: SENSING, 0
1690, ECU0: CC, 0
1690, ECU0: LK, 1
1710, ECU0: CC, 1
1720, ECU0: CC, 0
1730, ECU0: LK, 0
1730, ECU0: SENSING, 1
1740, ECU0: CC, 1
1740, ECU0: SENSING, 0
1750, ECU0: CC, 0
1750, ECU0: LK, 1
1770, ECU0: CC, 1
1780, ECU0: CC, 0
1790, ECU0: LK, 0
1800, ECU0: CC, 1
1810, ECU0: CC, 0
1810, ECU0: LK, 1
1830, ECU0: CC, 1
1840, ECU0: CC, 0
1850, ECU0: LK, 0
1860, ECU0: CC, 1
1870, ECU0: CC, 0
1870, ECU0: LK, 1
1890, ECU0: CC, 1
1900, ECU0: CC, 0
1910, ECU0: LK, 0
1920, ECU0: CC, 1
1930, ECU0: CC, 0
1930, ECU0: LK, 1
1950, ECU0: CC, 1
1960, ECU0: CC, 0
1970, ECU0: LK, 0
1980, ECU0: CC, 1
1850, ECU0: SENSING, 1
1860, ECU0: SENSING, 0
1910, ECU0: SENSING, 1
1920, ECU0: SENSING, 0
1990, ECU0: CC, 0
1990, ECU0: LK, 1
2010, ECU0: CC, 1
2020, ECU0: CC, 0
2030, ECU0: LK, 0
2030, ECU0: SENSING, 1
2040, ECU0: CC, 1
2040, ECU0: SENSING, 0
2050, ECU0: CC, 0
2050, ECU0: LK, 1
2070, ECU0: CC, 1
2080, ECU0: CC, 0
2090, ECU0: LK, 0
2100, ECU0: CC, 1
2110, ECU0: CC, 0
2110, ECU0: LK, 1
2130, ECU0: CC, 1
2140, ECU0: CC, 0
2150, ECU0: LK, 0
2160, ECU0: CC, 1
2170, ECU0: CC, 0
2170, ECU0: LK, 1
2190, ECU0: CC, 1
2200, ECU0: CC, 0
2210, ECU0: LK, 0
2220, ECU0: CC, 1
2230, ECU0: CC, 0
2230, ECU0: LK, 1
2250, ECU0: CC, 1
2260, ECU0: CC, 0
2270, ECU0: LK, 0
2280, ECU0: CC, 1
2150, ECU0: SENSING, 1
2160, ECU0: SENSING, 0
2210, ECU0: SENSING, 1
2220, ECU0: SENSING, 0
2290, ECU0: CC, 0
2290, ECU0: LK, 1
2310, ECU0: CC, 1
2320, ECU0: CC, 0
2330, ECU0: LK, 0
2330, ECU0: SENSING, 1
2340, ECU0: CC, 1
2340, ECU0: SENSING, 0
